h,beta,ci_low,ci_high,ci_low_90,ci_high_90,pval,se
0,0.0,0.0,0.0,0.0,0.0,0.2737,0.0
1,-4.2585,-0.312004,0.37262800000000007,-0.5812299999999999,0.6691349999999999,0.0409,2.0825
2,0.8512,-0.45886,0.4217000000000001,-0.7000299999999999,0.675109999999999,0.5283,1.3496
3,0.9326,-0.430304,0.40234400000000015,-0.8028099999999999,0.7544949999999998,0.1344,0.623
4,1.4626,-0.41623200000000005,0.491808,-0.744375,0.939329999999999,0.2842,1.3657
5,-0.1262,-0.48197200000000007,0.5204680000000002,-0.9224049999999999,1.011735,0.946,1.8651
6,-0.2632,-0.48728800000000005,0.543944,-0.9172849999999999,0.9828849999999999,0.8964,2.0215
7,0.1297,-0.548472,0.5205840000000003,-0.9349899999999999,0.9397199999999999,0.9413,1.7624
8,-0.3425,-0.4942200000000001,0.5314440000000001,-0.76921,0.9297099999999977,0.869,2.0767
9,-0.1157,-0.53644,0.5391440000000001,-0.9083699999999999,0.9737849999999981,0.9423,1.5988
10,0.6506,-0.491748,0.5088320000000001,-0.8958249999999999,0.994115,0.4502,0.8616
11,5.2891,-0.471816,0.4084360000000001,-0.77223,0.8349649999999971,0.1272,3.4675
12,4.3077,-0.4883760000000001,0.5198720000000002,-0.8925399999999999,0.9404399999999999,0.0159,1.7873
13,2.1087,-0.4990320000000001,0.518364,-0.9766749999999998,0.8269049999999999,0.0757,1.1872
14,3.3672,-0.47945200000000004,0.48094000000000015,-0.881305,0.906445,0.0477,1.7005
15,-0.4724,-0.49009600000000014,0.531916,-0.897715,0.8777699999999994,0.7144,1.2911
16,-2.2489,-0.5193760000000001,0.49755200000000005,-0.9271949999999999,0.8332899999999998,0.2845,2.1011
17,-1.8139,-0.5405,0.48730000000000007,-1.095805,0.9518049999999997,0.1379,1.2226
18,-1.8275,-0.578796,0.532544,-1.0048249999999999,0.9222649999999993,0.0401,0.8902
