h,beta,ci_low,ci_high,ci_low_90,ci_high_90,pval,se
0,0.0,-0.0,0.0,0.0,0.0,0.6211,0.0
1,-1.586,-0.23875600000000002,0.22328400000000004,-0.503255,0.4603349999999996,0.0458,0.7939
2,0.1101,-0.26254800000000006,0.28284400000000004,-0.49187000000000003,0.5911049999999999,0.8828,0.7468
3,-0.308,-0.26392000000000004,0.30247200000000013,-0.5244749999999999,0.5971,0.4745,0.4306
4,0.2176,-0.284204,0.24474800000000002,-0.6052449999999999,0.46893499999999994,0.7425,0.6621
5,1.9895,-0.308356,0.3334840000000001,-0.6169649999999999,0.6114999999999993,0.1851,1.5012
6,0.5093,-0.2998520000000001,0.25853600000000004,-0.551655,0.5561499999999996,0.4233,0.636
7,-1.5188,-0.25333200000000006,0.28169200000000016,-0.530075,0.5355199999999992,0.0635,0.8185
8,-3.0705,-0.26601600000000003,0.321712,-0.5789,0.5817749999999997,0.2249,2.5303
9,-0.1726,-0.319124,0.3390760000000001,-0.6193,0.6040549999999999,0.8683,1.0404
10,0.0646,-0.252764,0.31854000000000005,-0.651085,0.593315,0.9471,0.9732
11,-0.7953,-0.29327200000000003,0.323828,-0.57019,0.6052199999999996,0.6681,1.8552
12,1.8068,-0.30557200000000007,0.34839600000000015,-0.607065,0.7039249999999999,0.3326,1.8647
13,2.7124,-0.33984400000000003,0.3292000000000002,-0.5924149999999999,0.5817299999999993,0.0512,1.3914
14,0.1974,-0.31465600000000005,0.3620240000000003,-0.686475,0.6539299999999998,0.7321,0.5764
15,0.3124,-0.30982000000000004,0.33014400000000016,-0.648935,0.5920149999999994,0.6489,0.6863
16,0.6781,-0.359368,0.4062320000000001,-0.676555,0.74484,0.3779,0.769
17,0.7609,-0.3977,0.344232,-0.784345,0.6073899999999999,0.1727,0.558
18,0.0944,-0.43824,0.3794600000000001,-0.8111699999999998,0.7018599999999999,0.9019,0.7653
