h,beta,ci_low,ci_high,ci_low_90,ci_high_90,pval,se
0,0.0,0.0,0.0,0.0,0.0,0.1962,0.0
1,-0.0485,-0.21473600000000004,0.19384800000000002,-0.38991499999999996,0.35748499999999994,0.8933,0.3613
2,1.8041,-0.2892600000000001,0.26255200000000006,-0.5483349999999999,0.47889499999999985,0.0198,0.774
3,2.399,-0.327988,0.355976,-0.62173,0.7075449999999999,0.014,0.9762
4,0.4577,-0.402656,0.383624,-0.716825,0.671364999999999,0.6757,1.094
5,-0.1627,-0.3888000000000001,0.3838840000000001,-0.738085,0.6496949999999997,0.9004,1.3004
6,0.0098,-0.40655600000000003,0.37899600000000006,-0.6856099999999999,0.6997399999999999,0.9958,1.8618
7,0.6496,-0.410368,0.399776,-0.738975,0.7042999999999999,0.7534,2.068
8,0.1761,-0.433416,0.377068,-0.7457999999999999,0.700689999999999,0.9162,1.6739
9,-1.7086,-0.47398,0.378016,-0.733855,0.705039999999999,0.324,1.7322
10,-2.118,-0.46162800000000004,0.3764280000000001,-0.796515,0.6769949999999996,0.1425,1.4444
11,-2.8703,-0.494516,0.457284,-0.8823249999999999,0.7860449999999999,0.0138,1.1659
12,-5.1637,-0.4878,0.43556400000000006,-0.8279699999999999,0.7169549999999999,0.0514,2.6511
13,-4.3941,-0.4583880000000001,0.42271600000000004,-0.81894,0.75691,0.0194,1.8794
14,-1.2961,-0.46614400000000006,0.454068,-0.8619349999999999,0.7925049999999997,0.3629,1.4243
15,-0.4125,-0.443464,0.427664,-0.79931,0.825434999999999,0.6921,1.0419
16,0.7282,-0.506896,0.482208,-0.81417,0.7571449999999997,0.5212,1.1352
17,3.1541,-0.46420800000000007,0.5181160000000001,-0.82675,0.9014699999999999,0.1589,2.2391
18,2.969,-0.4599920000000002,0.543864,-0.845375,0.8982299999999993,0.0622,1.5923
