h,beta,ci_low,ci_high,ci_low_90,ci_high_90,pval,se
0,0.0,-0.0,0.0,0.0,0.0,0.9832,0.0
1,-0.0766,-0.05655600000000002,0.046516,-0.09715,0.07294499999999997,0.5351,0.1235
2,-0.0455,-0.080348,0.06698000000000001,-0.1276,0.10994499999999996,0.8142,0.1937
3,-0.0522,-0.09282800000000001,0.09388,-0.152415,0.16102999999999998,0.8383,0.2559
4,0.0575,-0.111716,0.10101600000000001,-0.16962,0.1714999999999999,0.8392,0.2833
5,0.0819,-0.120148,0.106548,-0.19241,0.18149999999999972,0.8168,0.3537
6,0.2289,-0.127116,0.10716000000000002,-0.19851499999999997,0.20180499999999982,0.619,0.4602
7,0.2868,-0.12320400000000002,0.09894800000000001,-0.20591999999999996,0.18575499999999984,0.5638,0.497
8,0.1707,-0.127316,0.108616,-0.19783,0.18844999999999998,0.6768,0.4096
9,-0.3329,-0.12712800000000002,0.11119600000000002,-0.220945,0.1855249999999998,0.3882,0.3858
10,-0.678,-0.13162800000000002,0.115,-0.22641,0.19544999999999996,0.0186,0.2881
11,-0.8302,-0.130132,0.11166400000000001,-0.218285,0.18703999999999996,0.0001,0.2168
12,-0.9155,-0.12715200000000002,0.11506000000000002,-0.20335,0.18743999999999997,0.0072,0.3409
13,-0.3457,-0.123416,0.11742800000000016,-0.20921499999999998,0.19021,0.0557,0.1807
14,-0.5008,-0.12796400000000002,0.11914000000000004,-0.21993000000000001,0.19595999999999994,0.0642,0.2706
15,-0.3315,-0.1097,0.10746000000000008,-0.18341,0.1871949999999999,0.1922,0.2542
16,-0.542,-0.10663600000000002,0.10429600000000001,-0.18715499999999996,0.1761349999999998,0.0976,0.3272
17,-0.4947,-0.109532,0.110432,-0.17753499999999997,0.18797999999999992,0.1859,0.374
18,-0.6359,-0.101344,0.105232,-0.17158500000000002,0.18574499999999997,0.0323,0.297
